Account ID,Company Name,Listed,Ticker,ISIN,HQ Country,GICS Sector,Accounting Year End, Reported Scope 1 (tCO2e) , Estimated Scope 1 (tCO2e) ,Scope 1 source,Scope 1 quality flag, Reported market-based Scope 2 (tCO2e) , Note , Reported location-based Scope 2 (tCO2e) , Estimated location-based Scope 2 (tCO2e) ,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity (tCO2e/mmUSD),Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex,Regulationindex,Environmentindex,Socialindex,Governanceindex,ESGindex,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  (tCO2e/mmUSD)
30238,Agencia de Proteccion Ambiental,Yes,ADN LN,,,,29/09/2016, 0.65 ,,Reported: Company Filings,,,  ,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0,539.2810767
59859,Sociedad Comercial del Plata SA,Yes,COME AR,ARP290071462,Argentina,Energy,31/12/2016,," 1,400 ",Estimated: Gamma GLM,2,, NA ,," 3,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3,,26.03,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,arp290071462,0.023033331,0.023078571,0.033899447,0.021699852,0.178446115,26.03088209
1408,Banco de Galicia y Buenos Aires S.A.,Yes,GALI AR,,Argentina,Financials,31/12/2016, 933.37 ,,Reported: CDP (Not Reviewed),,, NA ," 27,626.00 ",,Reported: CDP (Not Reviewed),,,7.97,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0,7.968841033
20949,YPF SA,Yes,YPFD AR,ARP9897X1319,Argentina,Energy,31/12/2016,," 12,000,000 ","Estimated: Oil & Gas Extraction, O&G  Refining",6,, NA ,," 1,200,000 ","Estimated: Oil & Gas Extraction, O&G  Refining",6,,926.11,Location-based,48,84,165,110,102,123,221,87,69,86,102,72,89,62,75,98,73,98,94,55,89,170,0,98,111,14,0,87,26,130,90,0.23,0.12,0.23,0.07,0.13,0.27,arp9897x1319,0.024062684,0.021262862,0.030650056,0.029234937,0.064661654,926.1117199
57626,Australia Post,Yes,1067Z AU,0,Australia,Industrials,30/06/2016," 119,338.00 ",,Reported: CDP (Not Reviewed),,, NA ," 169,447.00 ",,Reported: CDP (Not Reviewed),,"Total scope 2 emissions have been calculated using the location based emissions factor for 2016. Our total scope 2 emissions have reduced by 12,473 tonnes, 7%.",59.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0,59.90836697
351,AGL Energy,Yes,AGL AU,AU000000AGL7,Australia,Utilities,30/06/2016," 43,258,798.00 ",,Reported: CDP (Reviewed),7," 526,294.70 ",  ," 526,700.00 ",,Reported: CDP (Reviewed),7,"Market-based scope 2 emissions were calculated by netting out 100% green power purchases from our Eastwood and Burwood offices (372 MWh), and using state-based emissions factors for the remaining electricity consumption.",5390.04,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000agl7,0.013876004,0.012526839,0.013893824,0.013355581,0.49273183,5390.042347
934,Aristocrat Leisure,Yes,ALL AU,AU000000ALL7,Australia,Consumer Discretionary,29/09/2016,," 21,000 ",Estimated: Gamma GLM,3,, NA ,," 54,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,2,,47.82,Location-based,114,35,20,143,135,98,76,99,112,64,89,94,73,119,70,71,113,71,87,86,94,0,316,99,75,266,0,65,"1,375",70,451,0.26,0.24,0.00,0.15,0.01,0.14,au000000all7,0.019772341,0.013992192,0.018361547,0.019043974,0.254385965,47.82095833
36574,ALS,Yes,ALQ AU,,Australia,Industrials,30/03/2017,," 12,000 ",Estimated: Gamma GLM,4,, NA ,," 3,700 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,16.39,Location-based,123,190,71,78,115,78,145,87,83,64,86,79,106,93,113,84,103,84,88,98,153,364,31,90,36,10,75,186,0,40,80,0.08,0.19,0.25,0.21,0.15,0.11,,,,,,0,16.39258679
674,Amcor,Yes,AMC AU,AU000000AMC4,Australia,Materials,30/06/2016," 357,318.00 ",,Reported: CDP (Reviewed),7," 1,221,815.00 ",  ," 1,222,218.00 ",,Reported: CDP (Reviewed),7,Amcor is currently purchasing green electricity at two sites in Europe.,167.61,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000amc4,0.017259023,0.010541297,0.011097533,0.008157854,0.659649123,167.6130683
724,AMP,Yes,AMP AU,AU000000AMP6,Australia,Financials,31/12/2016, 69.00 ,,Reported: CDP (Reviewed),7,, NA ," 11,789.00 ",,Reported: CDP (Reviewed),7,,1.08,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000amp6,0.017409557,0.011278594,0.023377494,0.026657431,0.085964912,1.078997582
