Title,Content_type,Published_Date,Modified_Date,Download_Date,Link,Article,Organisation
Tickeo (clone of authorised firm),Warnings,03/09/2018,03/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/tickeo-clone-authorised-firm,"Almost all firms and individuals carrying out financial services activities in the UK have to be authorised or registered by us. This firm is not authorised or registered by us but has been targeting people in the UK, claiming to be an authorised firm.
This is what we call a 'clone firm'; and fraudsters usually use this tactic when contacting people out of the blue, so you should be especially wary if you have been cold called. They may use the name of the genuine firm, the 'firm reference number' (FRN) we have given the authorised firm or other details.
You can find out more about this scam tactic and how to protect yourself from clone firms.
Clone firm details
Fraudsters are using or giving out the following details as part of their tactics to scam people in the UK:
Tickeo (clone of FCA authorised firm)
Address:  71-75 Shelton Street, London, WC2H 9JQ
Telephone: 02038087364
Email: [email protected]
Website: www.tickeo.eu
Be aware that the scammers may give out other false details or mix these with some correct details of the registered firm.
FCA authorised firm details
This FCA Authorised Electronic Money Institution firm that fraudsters are claiming to work for has no association with the ‘clone firm’. It is authorised to offer, promote or sell services or products in the UK and its correct details are:
Firm Name: CFS-ZIPP Limited
Firm Reference Number: 900027
Address: 790 Uxbridge Road, Hayes, Middx, UB4 0RS
Telephone: 02085614250
Email: [email protected]
Website: www.cfszipp.com
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report a clone firm
If you think you have been approached by an unauthorised or clone firm, or contacted about a scam, you should contact us. If you were offered, bought or sold shares, you can use our reporting form.
What to do if your firm is cloned
If you think your authorised firm has been cloned or scammers are fraudulently using your name or other details, contact our Firm Helpline on 0300 500 0597.",6 - Financial Conduct Authority
Tullett Prebon (clone of authorised firm),Warnings,03/09/2018,03/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/tullett-prebon-clone-authorised-firm,"Almost all firms and individuals carrying out financial services activities in the UK have to be authorised or registered by us. This firm is not authorised or registered by us but has been targeting people in the UK, claiming to be an authorised firm.
This is what we call a 'clone firm'; and fraudsters usually use this tactic when contacting people out of the blue, so you should be especially wary if you have been cold called. They may use the name of the genuine firm, the 'firm reference number' (FRN) we have given the authorised firm or other details.
You can find out more about this scam tactic and how to protect yourself from clone firms.
Clone firm details
Fraudsters are using or giving out the following details as part of their tactics to scam people in the UK:
Tullett Prebon (clone of FCA authorised firm)
Address: 288 Oldfield Lane North, Greenford London, UB6 8PS;
North Circular Road, London, NW10 7TL
Be aware that the scammers may give out other false details or mix these with some correct details of the registered firm.
FCA authorised firm details
This FCA authorised firm that fraudsters are claiming to work for has no association with the ‘clone firm’. It is authorised to offer, promote or sell services or products in the UK and its correct details are:
Firm Name: Tullett Prebon (Europe) Limited
Address: Tower 42, Level 37,25 Old Broad street, London EC2N 1HQ;
155 Bishopsgate, London, EC2M 3TQ
Telephone: +44 0207 200 7000
Website: www.tulletprebon.com
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report a clone firm
If you think you have been approached by an unauthorised or clone firm, or contacted about a scam, you should contact us. If you were offered, bought or sold shares, you can use our reporting form.
What to do if your firm is cloned
If you think your authorised firm has been cloned or scammers are fraudulently using your name or other details, contact our Firm Helpline on 0300 500 0597.",6 - Financial Conduct Authority
Meacock Capital (clone of authorised firm),Warnings,03/09/2018,03/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/meacock-capital-clone-authorised-firm,"Almost all firms and individuals carrying out financial services activities in the UK have to be authorised or registered by us. This firm is not authorised or registered by us but has been targeting people in the UK, claiming to be an authorised firm.
This is what we call a 'clone firm'; and fraudsters usually use this tactic when contacting people out of the blue, so you should be especially wary if you have been cold called. They may use the name of the genuine firm, the 'firm reference number' (FRN) we have given the authorised firm or other details.
You can find out more about this scam tactic and how to protect yourself from clone firms.
Clone firm details
Fraudsters are using or giving out the following details as part of their tactics to scam people in the UK:
Meacock Capital (clone of FCA authorised firm)
Address: Hasilwood House, 60 Bishopsgate, London EC2N 4AW
Telephone: 02071297351
Email: [email protected]
Website: www.meacock-capital.com
Be aware that the scammers may give out other false details or mix these with some correct details of the registered firm.
FCA authorised firm details
This FCA authorised firm that fraudsters are claiming to work for has no association with the ‘clone firm’. It is authorised to offer, promote or sell services or products in the UK and its correct details are:
Firm Name: S A Meacock & Company Limited
Firm Reference Number: 204959
Address: Hasilwood House, 60 Bishopsgate, London EC2N 4AW
Telephone: 02073746727
Email: [email protected]
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report a clone firm
If you think you have been approached by an unauthorised or clone firm, or contacted about a scam, you should contact us. If you were offered, bought or sold shares, you can use our reporting form.
What to do if your firm is cloned
If you think your authorised firm has been cloned or scammers are fraudulently using your name or other details, contact our Firm Helpline on 0300 500 0597.",6 - Financial Conduct Authority
Gabriela Kouklova (clone of authorised firm),Warnings,03/09/2018,03/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/gabriela-kouklova-clone-authorised-firm,"Almost all firms and individuals carrying out financial services activities in the UK have to be authorised or registered by us. This firm is not authorised or registered by us but has been targeting people in the UK, claiming to be an authorised firm.
This is what we call a 'clone firm'; and fraudsters usually use this tactic when contacting people out of the blue, so you should be especially wary if you have been cold called. They may use the name of the genuine firm, the 'firm reference number' (FRN) we have given the authorised firm or other details.
You can find out more about this scam tactic and how to protect yourself from clone firms.
Clone firm details
Fraudsters are using or giving out the following details as part of their tactics to scam people in the UK:
Gabriela Kouklova (clone of FCA authorised firm)
Address: Pod Pekarnami, 300/17. Praha 9.CZ-190 00, Czech Republic
Telephone: 02034750664, 08008620563
Email: [email protected]
Website: www.gk-pro.net
Be aware that the scammers may give out other false details or mix these with some correct details of the registered firm.
FCA authorised firm details
This FCA authorised firm that fraudsters are claiming to work for has no association with the ‘clone firm’. It is authorised to offer, promote or sell services or products in the UK and its correct details are:
Firm Name: Gabriela Kouklova
Firm Reference Number: 445613
Address: Pod Pekarnami, 300/17. Praha 9.CZ-190 00, Czech Republic
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report a clone firm
If you think you have been approached by an unauthorised or clone firm, or contacted about a scam, you should contact us. If you were offered, bought or sold shares, you can use our reporting form.
What to do if your firm is cloned
If you think your authorised firm has been cloned or scammers are fraudulently using your name or other details, contact our Firm Helpline on 0300 500 0597.",6 - Financial Conduct Authority
Bidwell Capital Ltd (clone of authorised firm),Warnings,03/09/2018,03/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/bidwell-capital-ltd-clone-authorised-firm,"Almost all firms and individuals carrying out financial services activities in the UK have to be authorised or registered by us. This firm is not authorised or registered by us but has been targeting people in the UK, claiming to be an authorised firm.
This is what we call a 'clone firm'; and fraudsters usually use this tactic when contacting people out of the blue, so you should be especially wary if you have been cold called. They may use the name of the genuine firm, the 'firm reference number' (FRN) we have given the authorised firm or other details.
You can find out more about this scam tactic and how to protect yourself from clone firms.
Clone firm details
Fraudsters are using or giving out the following details as part of their tactics to scam people in the UK:
Bidwell Capital Ltd (clone of FCA authorised firm)
Address: Belmont House, Shrewsbury Business Park, Shrewsbury. SY2 6LG
Telephone: 02036080034
Email: [email protected]
Be aware that the scammers may give out other false details or mix these with some correct details of the registered firm.
FCA authorised firm details
This FCA authorised firm that fraudsters are claiming to work for has no association with the ‘clone firm’. It is authorised to offer, promote or sell services or products in the UK and its correct details are:
Firm Name: Bidwell Capital Ltd
Firm Reference Number: 599878
Address: 82 Wandsworth Bridge Road, London, SW6 2TF, United Kingdom
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report a clone firm
If you think you have been approached by an unauthorised or clone firm, or contacted about a scam, you should contact us. If you were offered, bought or sold shares, you can use our reporting form.
What to do if your firm is cloned
If you think your authorised firm has been cloned or scammers are fraudulently using your name or other details, contact our Firm Helpline on 0300 500 0597.",6 - Financial Conduct Authority
BK Coin,Warnings,31/08/2018,31/08/2018,2018-10-04,https://www.fca.org.uk/news/warnings/bk-coin,"Almost all firms and individuals offering, promoting or selling financial services or products in the UK have to be authorised by us.
However, some firms act without our authorisation and some knowingly run investment scams. 
This firm is not authorised by us and is targeting people in the UK. Based upon information we hold, we believe it is carrying on regulated activities which require authorisation.
BK Coin
Address: 122 Leadenhall Street, London EC3V 4AB
Telephone: +33 0975185657
Email: [email protected]
Website: https://bk-coin.com
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report an unauthorised firm
If you think you have been approached by an unauthorised firm or contacted about a scam, you should contact our Consumer Helpline on 0800 111 6768. If you were offered, bought or sold shares, you can use our reporting form.",6 - Financial Conduct Authority
TSP Options,Warnings,31/08/2018,21/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/tsp-options,"Almost all firms and individuals offering, promoting or selling financial services or products in the UK have to be authorised by us.
However, some firms act without our authorisation and some knowingly run investment scams. 
This entity is not authorised by us and we believe they are targeting people in the UK to invest in binary options. Based upon information we hold, we believe they are making financial promotions without authorisation or exemption.
The sale of binary options to retail consumers is now banned. If you are offered binary options, it is probably a scam. Please see our Scamsmart page on Binary Options.
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report an unauthorised firm
If you think you have been approached by an unauthorised firm or contacted about a scam, you should contact our Consumer Helpline on 0800 111 6768. If you were offered, bought or sold shares, you can use our reporting form.",6 - Financial Conduct Authority
Markets Cube,Warnings,31/08/2018,21/09/2018,2018-10-04,https://www.fca.org.uk/news/warnings/markets-cube,"Almost all firms and individuals offering, promoting or selling financial services or products in the UK have to be authorised by us.
However, some firms act without our authorisation and some knowingly run investment scams. 
This firm is not authorised by us and is targeting people in the UK. Based upon information we hold, we believe it is carrying on regulated activities which require authorisation.
Markets Cube
Address: The website is operated by Prisma Global LTD company with registered address Trust Company Complex, Ajeltake road, Majuro, Marshall Islands. All payments are processed by PayOpt Services LTD company with registered address Spyrou Kyprianou 84, Limassol 4004, Cyprus.
Telephone: 01173135525
Email: [email protected]; [email protected]
Website: www.marketscube.com
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report an unauthorised firm
If you think you have been approached by an unauthorised firm or contacted about a scam, you should contact our Consumer Helpline on 0800 111 6768. If you were offered, bought or sold shares, you can use our reporting form.",6 - Financial Conduct Authority
Debt Cancel UK,Warnings,31/08/2018,31/08/2018,2018-10-04,https://www.fca.org.uk/news/warnings/debt-cancel-uk,"Almost all firms and individuals offering, promoting or selling financial services or products in the UK have to be authorised by us.
However, some firms act without our authorisation and some knowingly run investment scams. 
This firm is not authorised by us and is targeting people in the UK. Based upon information we hold, we believe it is carrying on regulated activities which require authorisation.
Debt Cancel UK
Telephone: 07522833900, 07522833258
Email: [email protected]
Website: http://debtcancel.co.uk/
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report an unauthorised firm
If you think you have been approached by an unauthorised firm or contacted about a scam, you should contact our Consumer Helpline on 0800 111 6768. If you were offered, bought or sold shares, you can use our reporting form.",6 - Financial Conduct Authority
Local Bitcoin Ltd,Warnings,31/08/2018,31/08/2018,2018-10-04,https://www.fca.org.uk/news/warnings/local-bitcoin-ltd,"Almost all firms and individuals offering, promoting or selling financial services or products in the UK have to be authorised by us.
However, some firms act without our authorisation and some knowingly run investment scams. 
This firm is not authorised by us and is targeting people in the UK. Based upon information we hold, we believe it is carrying on regulated activities which require authorisation.
Local Bitcoin Ltd
Address: 12-14 Bondgate Within Alnwick, Northumberland
Telephone: +33 0975180964
Email: [email protected]
Website: https://localbitcoinltd.com
How to protect yourself
We strongly advise you to only deal with financial firms that are authorised by us, and check the Financial Services Register to ensure they are. It has information on firms and individuals that are, or have been, regulated by us.
If you want to check a consumer credit firm that may not yet have been authorised by us, please also check the Interim Permission Register.
If a firm does not appear on the Register but claims it does, contact our Consumer Helpline on 0800 111 6768.
There are more steps you should take to avoid scams and unauthorised firms.
You should also be aware that if you give money to an unauthorised firm, you will not be covered by the Financial Ombudsman Service or Financial Services Compensation Scheme (FSCS) if things go wrong.
Report an unauthorised firm
If you think you have been approached by an unauthorised firm or contacted about a scam, you should contact our Consumer Helpline on 0800 111 6768. If you were offered, bought or sold shares, you can use our reporting form.",6 - Financial Conduct Authority
