,"Croatia, Croatian National Bank, Government Bond, Yield","United States, Macrobond, Yield, Average of Period","Sweden, Macrobond, Yield, End of Period","Canada, Yield, End of Period","Norway, Yield, End of Period","Germany, Macrobond, Yield, End of Period","France, Macrobond, Yield, End of Period","United Kingdom, Macrobond, Yield, End of Period","Australia, Macrobond, Government Bonds, Yield, End of Period","Italy, Macrobond, Yield, End of Period","Netherlands, Macrobond, Yield, End of Period","Switzerland, Macrobond, Yield, End of Period","Ireland, Macrobond, Yield, End of Period","Japan, Macrobond, Yield, End of Period","Austria, Macrobond, Yield, End of Period","Belgium, Yield, End of Period","Finland, Macrobond, Yield, Average of Period","Portugal, Macrobond, Yield, End of Period","Spain, Macrobond, Yield, End of Period","Greece, Macrobond, Yield, End of Period","Czech Republic, Czech National Bank, Yield, End of Period","Tanzania, Bank of Tanzania, Treasury Bond Rate","Bulgaria, Bulgarian National Bank, Yield","Zambia, Bank of Zambia, Monetary Statistics, Government Bonds Yield Rates, Yield"
1/1/1871,,5.36,,,,,,,,,,,,,,,,,,,,,,
2/1/1871,,5.32,,,,,,,,,,,,,,,,,,,,,,
3/1/1871,,5.33,,,,,,,,,,,,,,,,,,,,,,
4/1/1871,,5.33,,,,,,,,,,,,,,,,,,,,,,
5/1/1871,,5.33,,,,,,,,,,,,,,,,,,,,,,
6/1/1871,,5.34,,,,,,,,,,,,,,,,,,,,,,
7/1/1871,,5.34,,,,,,,,,,,,,,,,,,,,,,
8/1/1871,,5.34,,,,,,,,,,,,,,,,,,,,,,
9/1/1871,,5.35,,,,,,,,,,,,,,,,,,,,,,
10/1/1871,,5.35,,,,,,,,,,,,,,,,,,,,,,
11/1/1871,,5.35,,,,,,,,,,,,,,,,,,,,,,
12/1/1871,,5.36,,,,,,,,,,,,,,,,,,,,,,
1/1/1872,,5.56,,,,,,,,,,,,,,,,,,,,,,
2/1/1872,,5.38,,,,,,,,,,,,,,,,,,,,,,
3/1/1872,,5.4,,,,,,,,,,,,,,,,,,,,,,
4/1/1872,,5.42,,,,,,,,,,,,,,,,,,,,,,
5/1/1872,,5.43,,,,,,,,,,,,,,,,,,,,,,
6/1/1872,,5.45,,,,,,,,,,,,,,,,,,,,,,
7/1/1872,,5.47,,,,,,,,,,,,,,,,,,,,,,
8/1/1872,,5.49,,,,,,,,,,,,,,,,,,,,,,
9/1/1872,,5.51,,,,,,,,,,,,,,,,,,,,,,
10/1/1872,,5.53,,,,,,,,,,,,,,,,,,,,,,
11/1/1872,,5.54,,,,,,,,,,,,,,,,,,,,,,
12/1/1872,,5.56,,,,,,,,,,,,,,,,,,,,,,
1/1/1873,,5.48,,,,,,,,,,,,,,,,,,,,,,
2/1/1873,,5.57,,,,,,,,,,,,,,,,,,,,,,
3/1/1873,,5.56,,,,,,,,,,,,,,,,,,,,,,
4/1/1873,,5.55,,,,,,,,,,,,,,,,,,,,,,
5/1/1873,,5.54,,,,,,,,,,,,,,,,,,,,,,
6/1/1873,,5.53,,,,,,,,,,,,,,,,,,,,,,
7/1/1873,,5.53,,,,,,,,,,,,,,,,,,,,,,
8/1/1873,,5.52,,,,,,,,,,,,,,,,,,,,,,
9/1/1873,,5.51,,,,,,,,,,,,,,,,,,,,,,
10/1/1873,,5.5,,,,,,,,,,,,,,,,,,,,,,
11/1/1873,,5.49,,,,,,,,,,,,,,,,,,,,,,
12/1/1873,,5.48,,,,,,,,,,,,,,,,,,,,,,
1/1/1874,,5.1,,,,,,,,,,,,,,,,,,,,,,
2/1/1874,,5.44,4.43,,,,,,,,,,,,,,,,,,,,,
3/1/1874,,5.4,4.42,,,,,,,,,,,,,,,,,,,,,
4/1/1874,,5.37,4.41,,,,,,,,,,,,,,,,,,,,,
5/1/1874,,5.34,4.4,,,,,,,,,,,,,,,,,,,,,
6/1/1874,,5.3,4.39,,,,,,,,,,,,,,,,,,,,,
7/1/1874,,5.27,4.38,,,,,,,,,,,,,,,,,,,,,
8/1/1874,,5.24,4.37,,,,,,,,,,,,,,,,,,,,,
9/1/1874,,5.2,4.41,,,,,,,,,,,,,,,,,,,,,
10/1/1874,,5.17,4.41,,,,,,,,,,,,,,,,,,,,,
11/1/1874,,5.14,4.41,,,,,,,,,,,,,,,,,,,,,
12/1/1874,,5.1,4.4,,,,,,,,,,,,,,,,,,,,,
1/1/1875,,4.63,4.4,,,,,,,,,,,,,,,,,,,,,
2/1/1875,,5.03,4.4,,,,,,,,,,,,,,,,,,,,,
3/1/1875,,4.99,4.4,,,,,,,,,,,,,,,,,,,,,
4/1/1875,,4.95,4.43,,,,,,,,,,,,,,,,,,,,,
5/1/1875,,4.91,4.43,,,,,,,,,,,,,,,,,,,,,
6/1/1875,,4.87,4.44,,,,,,,,,,,,,,,,,,,,,
7/1/1875,,4.83,4.45,,,,,,,,,,,,,,,,,,,,,
8/1/1875,,4.79,4.45,,,,,,,,,,,,,,,,,,,,,
9/1/1875,,4.75,4.45,,,,,,,,,,,,,,,,,,,,,
10/1/1875,,4.71,4.45,,,,,,,,,,,,,,,,,,,,,
11/1/1875,,4.67,4.47,,,,,,,,,,,,,,,,,,,,,
12/1/1875,,4.63,4.48,,,,,,,,,,,,,,,,,,,,,
1/1/1876,,4.46,4.45,,,,,,,,,,,,,,,,,,,,,
2/1/1876,,4.58,4.48,,,,,,,,,,,,,,,,,,,,,
3/1/1876,,4.57,4.51,,,,,,,,,,,,,,,,,,,,,
4/1/1876,,4.56,4.51,,,,,,,,,,,,,,,,,,,,,
5/1/1876,,4.54,4.51,,,,,,,,,,,,,,,,,,,,,
6/1/1876,,4.53,4.51,,,,,,,,,,,,,,,,,,,,,
7/1/1876,,4.52,4.51,,,,,,,,,,,,,,,,,,,,,
8/1/1876,,4.51,4.53,,,,,,,,,,,,,,,,,,,,,
9/1/1876,,4.5,4.54,,,,,,,,,,,,,,,,,,,,,
10/1/1876,,4.49,4.53,,,,,,,,,,,,,,,,,,,,,
11/1/1876,,4.47,4.56,,,,,,,,,,,,,,,,,,,,,
12/1/1876,,4.46,4.59,,,,,,,,,,,,,,,,,,,,,
1/1/1877,,4.35,4.62,,,,,,,,,,,,,,,,,,,,,
2/1/1877,,4.44,4.62,,,,,,,,,,,,,,,,,,,,,
3/1/1877,,4.43,4.62,,,,,,,,,,,,,,,,,,,,,
4/1/1877,,4.42,4.62,,,,,,,,,,,,,,,,,,,,,
5/1/1877,,4.41,4.62,,,,,,,,,,,,,,,,,,,,,
6/1/1877,,4.4,4.61,,,,,,,,,,,,,,,,,,,,,
7/1/1877,,4.4,4.6,,,,,,,,,,,,,,,,,,,,,
8/1/1877,,4.39,4.59,,,,,,,,,,,,,,,,,,,,,
9/1/1877,,4.38,4.58,,,,,,,,,,,,,,,,,,,,,
10/1/1877,,4.37,4.57,,,,,,,,,,,,,,,,,,,,,
11/1/1877,,4.36,4.56,,,,,,,,,,,,,,,,,,,,,
12/1/1877,,4.35,4.55,,,,,,,,,,,,,,,,,,,,,
1/1/1878,,4.23,4.54,,,,,,,,,,,,,,,,,,,,,
2/1/1878,,4.33,4.56,,,,,,,,,,,,,,,,,,,,,
3/1/1878,,4.32,4.58,,,,,,,,,,,,,,,,,,,,,
4/1/1878,,4.31,4.61,,,,,,,,,,,,,,,,,,,,,
5/1/1878,,4.3,4.63,,,,,,,,,,,,,,,,,,,,,
6/1/1878,,4.29,4.63,,,,,,,,,,,,,,,,,,,,,
7/1/1878,,4.28,4.63,,,,,,,,,,,,,,,,,,,,,
8/1/1878,,4.27,4.63,,,,,,,,,,,,,,,,,,,,,
9/1/1878,,4.26,4.63,,,,,,,,,,,,,,,,,,,,,
10/1/1878,,4.25,4.63,,,,,,,,,,,,,,,,,,,,,
11/1/1878,,4.24,4.63,,,,,,,,,,,,,,,,,,,,,
12/1/1878,,4.23,4.63,,,,,,,,,,,,,,,,,,,,,
1/1/1879,,4.04,4.63,,,,,,,,,,,,,,,,,,,,,
2/1/1879,,4.2,4.56,,,,,,,,,,,,,,,,,,,,,
3/1/1879,,4.19,4.56,,,,,,,,,,,,,,,,,,,,,
4/1/1879,,4.17,4.56,,,,,,,,,,,,,,,,,,,,,
5/1/1879,,4.15,4.53,,,,,,,,,,,,,,,,,,,,,
6/1/1879,,4.14,4.51,,,,,,,,,,,,,,,,,,,,,
7/1/1879,,4.12,4.48,,,,,,,,,,,,,,,,,,,,,
8/1/1879,,4.1,4.46,,,,,,,,,,,,,,,,,,,,,
9/1/1879,,4.09,4.43,,,,,,,,,,,,,,,,,,,,,
10/1/1879,,4.07,4.41,,,,,,,,,,,,,,,,,,,,,
11/1/1879,,4.05,4.38,,,,,,,,,,,,,,,,,,,,,
12/1/1879,,4.04,4.36,,,,,,,,,,,,,,,,,,,,,
1/1/1880,,3.73,4.33,,,,,,,,,,,,,,,,,,,,,
2/1/1880,,3.99,4.31,,,,,,,,,,,,,,,,,,,,,
3/1/1880,,3.97,4.29,,,,,,,,,,,,,,,,,,,,,
4/1/1880,,3.94,4.26,,,,,,,,,,,,,,,,,,,,,
5/1/1880,,3.91,4.24,,,,,,,,,,,,,,,,,,,,,
6/1/1880,,3.89,4.22,,,,,,,,,,,,,,,,,,,,,
7/1/1880,,3.86,4.19,,,,,,,,,,,,,,,,,,,,,
8/1/1880,,3.83,4.17,,,,,,,,,,,,,,,,,,,,,
9/1/1880,,3.81,4.15,,,,,,,,,,,,,,,,,,,,,
10/1/1880,,3.78,4.13,,,,,,,,,,,,,,,,,,,,,
11/1/1880,,3.75,4.11,,,,,,,,,,,,,,,,,,,,,
12/1/1880,,3.73,4.09,,,,,,,,,,,,,,,,,,,,,
1/1/1881,,3.63,4.07,,,,,,,,,,,,,,,,,,,,,
2/1/1881,,3.69,4.07,,,,,,,,,,,,,,,,,,,,,
3/1/1881,,3.69,4.07,,,,,,,,,,,,,,,,,,,,,
4/1/1881,,3.68,4.07,,,,,,,,,,,,,,,,,,,,,
5/1/1881,,3.67,4.07,,,,,,,,,,,,,,,,,,,,,
6/1/1881,,3.67,4.07,,,,,,,,,,,,,,,,,,,,,
7/1/1881,,3.66,4.07,,,,,,,,,,,,,,,,,,,,,
8/1/1881,,3.65,4.07,,,,,,,,,,,,,,,,,,,,,
9/1/1881,,3.65,4.07,,,,,,,,,,,,,,,,,,,,,
10/1/1881,,3.64,4.07,,,,,,,,,,,,,,,,,,,,,
11/1/1881,,3.63,4.07,,,,,,,,,,,,,,,,,,,,,
