,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/01/1970,,3.75,,,,,,,,,,,,,,,,,
01/02/1970,,3.75,,,,,,,,,,,,,,,,,
01/03/1970,,3.75,,,,,,,,,,,,,,,,,
01/04/1970,,3.75,,,,,,,,,,,,,,,,,
01/05/1970,,3.75,,,,,,,,,,,,,,,,,
01/06/1970,,3.75,,,,,,,,,,,,,,,,,
01/07/1970,,3.75,,,,,,,,,,,,,,,,,
01/08/1970,,3.75,,,,,,,,,,,,,,,,,
01/09/1970,,3.75,,,,,,,,,,,,,,,,,
01/10/1970,,3.75,,,,,,,,,,,,,,,,,
01/11/1970,,3.75,,,,,,,,,,,,,,,,,
01/12/1970,,3.75,,,,,,,,,,,,,,,,,
01/01/1971,,3.75,,,,,,,,,,,,,,,,,
01/02/1971,,3.75,,,,,,,,,,,,,,,,,
01/03/1971,,3.75,,,,,,,,,,,,,,,,,
01/04/1971,,3.75,,,,,,,,,,,,,,,,,
01/05/1971,,3.75,,,,,,,,,,,,,,,,,
01/06/1971,,3.75,,,,,,,,,,,,,,,,,
01/07/1971,,3.75,,,,,,,,,,,,,,,,,
01/08/1971,,3.75,,,,,,,,,,,,,,,,,
01/09/1971,,3.75,,,,,,,,,,,,,,,,,
01/10/1971,,3.75,,,,,,,,,,,,,,,,,
01/11/1971,,3.75,,,,,,,,,,,,,,,,,
01/12/1971,,3.75,,,,,,,,,,,,,,,,,
01/01/1972,,3.75,,,,,,,,,,,,,,,,,
01/02/1972,,3.75,,,,,,,,,,,,,,,,,
01/03/1972,,3.75,,,,,,,,,,,,,,,,,
01/04/1972,,3.75,,,,,,,,,,,,,,,,,
01/05/1972,,3.75,,,,,,,,,,,,,,,,,
01/06/1972,,3.75,,,,,,,,,,,,,,,,,
01/07/1972,,3.75,,,,,,,,,,,,,,,,,
01/08/1972,,3.75,,,,,,,,,,,,,,,,,
01/09/1972,,3.75,,,,,,,,,,,,,,,,,
01/10/1972,,3.75,,,,,,,,,,,,,,,,,
01/11/1972,,3.75,,,,,,,,,,,,,,,,,
01/12/1972,,3.75,,,,,,,,,,,,,,,,,
01/01/1973,,3.75,,,,,,,,,,,,,,,,,
01/02/1973,,3.75,,,,,,,,,,,,,,,,,
01/03/1973,,3.75,,,,,,,,,,,,,,,,,
01/04/1973,,3.75,,,,,,,,,,,,,,,,,
01/05/1973,,3.75,,,,,,,,,,,,,,,,,
01/06/1973,,3.75,,,,,,,,,,,,,,,,,
01/07/1973,,3.75,,,,,,,,,,,,,,,,,
01/08/1973,,3.75,,,,,,,,,,,,,,,,,
01/09/1973,,3.75,,,,,,,,,,,,,,,,,
01/10/1973,,3.75,,,,,,,,,,,,,,,,,
01/11/1973,,3.75,,,,,,,,,,,,,,,,,
01/12/1973,,3.75,,,,,,,,,,,,,,,,,
01/01/1974,,3.75,,,,,,,,,,,,,,,,,
01/02/1974,,3.75,,,,,,,,,,,,,,,,,
01/03/1974,,3.75,,,,,,,,,,,,,,,,,
01/04/1974,,3.75,,,,,,,,,,,,,,,,,
01/05/1974,,3.75,,,,,,,,,,,,,,,,,
01/06/1974,,3.75,,,,,,,,,,,,,,,,,
01/07/1974,,3.75,,,,,,,,,,,,,,,,,
01/08/1974,,3.75,,,,,,,,,,,,,,,,,
01/09/1974,,3.75,,,,,,,,,,,,,,,,,
01/10/1974,,3.75,,,,,,,,,,,,,,,,,
01/11/1974,,3.75,,,,,,,,,,,,,,,,,
01/12/1974,,3.75,,,,,,,,,,,,,,,,,
01/01/1975,,3.75,,,,,,,,,,,,,,,,,
01/02/1975,,3.75,,,,,,,,,,,,,,,,,
01/03/1975,,3.75,,,,,,,,,,,,,,,,,
01/04/1975,,3.75,,,,,,,,,,,,,,,,,
01/05/1975,,3.75,,,,,,,,,,,,,,,,,
01/06/1975,,3.75,,,,,,,,,,,,,,,,,
01/07/1975,,3.75,,,,,,,,,,,,,,,,,
01/08/1975,,3.75,,,,,,,,,,,,,,,,,
01/09/1975,,3.75,,,,,,,,,,,,,,,,,
01/10/1975,,3.75,,,,,,,,,,,,,,,,,
01/11/1975,,3.75,,,,,,,,,,,,,,,,,
01/12/1975,,3.75,,,,,,,,,,,,,,,,,
01/01/1976,,3.75,,,,,,,,,,,,,,,,,
01/02/1976,,3.75,,,,,,,,,,,,,,,,,
01/03/1976,,3.75,,,,,,,,,,,,,,,,,
01/04/1976,,3.75,,,,,,,,,,,,,,,,,
01/05/1976,,3.75,,,,,,,,,,,,,,,,,
01/06/1976,,3.75,,,,,,,,,,,,,,,,,
01/07/1976,,3.75,,,,,,,,,,,,,,,,,
01/08/1976,,3.75,,,,,,,,,,,,,,,,,
01/09/1976,,3.75,,,,,,,,,,,,,,,,,
01/10/1976,,3.75,,,,,,,,,,,,,,,,,
01/11/1976,,3.75,,,,,,,,,,,,,,,,,
01/12/1976,,3.75,,,,,,,,,,,,,,,,,
01/01/1977,,3.75,,,,,,,,,,,,,,,,,
01/02/1977,,3.75,,,,,,,,,,,,,,,,,
01/03/1977,,3.75,,,,,,,,,,,,,,,,,
01/04/1977,,3.75,,,,,,,,,,,,,,,,,
01/05/1977,,3.75,,,,,,,,,,,,,,,,,
01/06/1977,,3.75,,,,,,,,,,,,,,,,,
01/07/1977,,3.75,,,,,,,,,,,,,,,,,
01/08/1977,,3.75,,,,,,,,,,,,,,,,,
01/09/1977,,3.75,,,,,,,,,,,,,,,,,
01/10/1977,,3.75,,,,,,,,,,,,,,,,,
01/11/1977,,3.75,,,,,,,,,,,,,,,,,
01/12/1977,,3.75,,,,,,,,,,,,,,,,,
01/01/1978,,3.75,,,,,,,,,,,,,,,,,
01/02/1978,,3.75,,,,,,,,,,,,,,,,,
01/03/1978,,3.75,,,,,,,,,,,,,,,,,
01/04/1978,,3.75,,,,,,,,,,,,,,,,,
01/05/1978,,3.75,,,,,,,,,,,,,,,,,
01/06/1978,,3.75,,,,,,,,,,,,,,,,,
01/07/1978,,3.75,,,,,,,,,,,,,,,,,
01/08/1978,,3.75,,,,,,,,,,,,,,,,,
01/09/1978,,3.75,,,,,,,,,,,,,,,,,
01/10/1978,,3.75,,,,,,,,,,,,,,,,,
01/11/1978,,3.75,,,,,,,,,,,,,,,,,
01/12/1978,,3.75,,,,,,,,,,,,,,,,,
01/01/1979,,3.75,,,,,,,,,,,,,,,,,
01/02/1979,,3.75,,,,,,,,,,,,,,,,,
01/03/1979,,3.75,,,,,,,,,,,,,,,,,
01/04/1979,,3.75,,,,,,,,,,,,,,,,,
01/05/1979,,3.75,,,,,,,,,,,,,,,,,
01/06/1979,,3.75,,,,,,,,,,,,,,,,,
01/07/1979,,3.75,,,,,,,,,,,,,,,,,
01/08/1979,,3.75,,,,,,,,,,,,,,,,,
01/09/1979,,3.75,,,,,,,,,,,,,,,,,
01/10/1979,,3.75,,,,,,,,,,,,,,,,,
01/11/1979,,3.75,,,,,,,,,,,,,,,,,
01/12/1979,,3.75,,,,,,,,,,,,,,,,,
01/01/1980,,3.75,,,,,,,,,,,,,,,,,
01/02/1980,,3.75,,,,,,,,,,,,,,,,,
01/03/1980,,3.75,,,,,,,,,,,,,,,,,
01/04/1980,,3.75,,,,,,,,,,,,,,,,,
01/05/1980,,3.75,,,,,,,,,,,,,,,,,
01/06/1980,,3.75,,,,,,,,,,,,,,,,,
01/07/1980,,3.75,,,,,,,,,,,,,,,,,
01/08/1980,,3.75,,,,,,,,,,,,,,,,,
01/09/1980,,3.75,,,,,,,,,,,,,,,,,
01/10/1980,,3.75,,,,,,,,,,,,,,,,,
01/11/1980,,3.75,,,,,,,,,,,,,,,,,
01/12/1980,,3.75,,,,,,,,,,,,,,,,,
01/01/1981,,3.75,,,,,,,,,,,,,,,,,
01/02/1981,,3.75,,,,,,,,,,,,,,,,,
