,"Egypt, Egyptian Exchange, EGX30 Index, Price Return, Close, EGP","United States, Dow Jones, Averages, Industrial Index, Price Return, Close, USD","Japan, Nikkei, 225 Index, Price Return, Close, JPY","Germany, Deutsche Boerse, DAX, 30 Index, Total Return, Close, EUR","France, Euronext Paris, CAC 40 Index, Price Return, Close, EUR","Austria, Vienna Stock Exchange, Wiener Börse Index, Price Return, Close, EUR","Hong Kong, Hang Seng, Index, Price Return, Close, HKD","Canada, S&P/TSX, 60, Index, Price Return, CAD","Ireland, Irish Stock Exchange, ISEQ Benchmark Overall Index, Price Return, Close, EUR","United Kingdom, FTSE, 100, Index, Price Return, Close, GBP","Brazil, BM&FBOVESPA, Ibovespa Index, Price Return, Close, BRL","Australia, S&P/ASX, 50 Index, Price Return, Close, AUD","Netherlands, Euronext Amsterdam, AEX-Index, Price Return, Close, EUR","Singapore, SGX Singapore Exchange, Straits Times Index, Close, SGD","Malaysia, FTSE Bursa Malaysia, KLCI Index, Price Return, Close, MYR","Sweden, Nasdaq OMX, Benchmark, OMXS30 Index, Price Return, Close, SEK","Europe, STOXX, 50 Index, Price Return, Close, EUR","Euro Area, STOXX, 50, Index, Price Return, Close, EUR","Philippines, Philippine Stock Exchange, PSEi Index, Close, PHP","Spain, Madrid Stock Exchange, IBEX 35 Index, Close, EUR","Switzerland, SIX Swiss Exchange, SMI Index, Price Return, Close, CHF","India, Bombay Stock Exchange, Sensitive Index (Sensex 30), Close, INR","Finland, Nasdaq OMX, Benchmark, OMX Helsinki 25 Index, Price Return, Close, EUR","Argentina, Buenos Aires Stock Exchange, MERVAL Index, Close, ARS","Mexico, Mexico Stock Exchange, IPC Index, Close, MXN","Denmark, Nasdaq OMX, Benchmark, OMXC20 Index, Price Return, Close, DKK","Hungary, Budapest Stock Exchange, BUX Index, Close, HUF","Belgium, Euronext Brussels, BEL 20 Index, Price Return, Close, EUR","Israel, TASE, TA35 Index, Close, ILS","Chile, Santiago Stock Exchange, IPSA Index, Close, CLP","Portugal, Euronext Lisbon, PSI 20 Index, Price Return, Close, EUR","Czech Republic, Vienna Stock Exchange, PX50 Index, Close, CZK","Poland, Warsaw Stock Exchange, WIG 20 Index, Close, PLN","Thailand, SET, 50 Index, Close, THB","Norway, Oslo Stock Exchange, OBX Index (OBX), Total Return, Close, NOK","Estonia, Nasdaq OMX, Tallinn Index, Total Return, Close, EUR","Turkey, Istanbul Stock Exchange, BIST 30 Index, Price Return, Close, TRY","Indonesia, Jakarta Stock Exchange, LQ45 Index, Close, IDR","Italy, FTSE, Benchmark, MIB Index, Price Return, Close, EUR"
6/1/1896,,36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1896,,32.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1896,,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1896,,36.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1896,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1896,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1896,,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1897,,42.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1897,,41.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/1897,,39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/1897,,38.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1897,,39.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1897,,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1897,,47.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1897,,54.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1897,,50.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1897,,48.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1897,,47.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1897,,49.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1898,,50.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1898,,46.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/1898,,45.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/1898,,45.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1898,,52.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1898,,52.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1898,,54.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1898,,60.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1898,,53.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1898,,55.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1898,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1898,,60.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1899,,64.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1899,,66.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/1899,,74.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/1899,,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1899,,67.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1899,,70.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1899,,73.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1899,,75.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1899,,72.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1899,,74.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1899,,75.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1899,,65.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/1900,,66.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/1900,,63.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1900,,65.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1900,,61.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1900,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1900,,54.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1900,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1900,,57.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1900,,54.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
